Fields,Coverage_Type,Time_hrs,Time_imaging,Time_Spectroscopy,Time_High_Cadence,Time_Low_Cadence,Lcen,Bcen,Lmin,Lmax,Bmin,Bmax,N_Filters,Filters_first_epoch,Filters_second_epoch,Filters_any_epoch,Filters_TDS,Dither,Grism_Prism,NVISITS,Intervals_Delta,Total_Duration,Notes
Disk1,Region,42.472,42.472,0,0,0,-73,0,-79,-67,-2,2,4,F213 F129,F184 F158,,,LINEGAP2,,,,,
Disk2,Region,64.101,64.101,0,0,0,-55.5,0,-67,-44,-2,2,4,F213 F129,F184 F158,,,LINEGAP2,,,,,
Disk3,Region,57.416,57.416,0,0,0,-34.5,0,-44,-25,-2,2,4,F213 F129,F184 F158,,,LINEGAP2,,,,,
Disk4,Region,55.517,55.517,0,0,0,-16,0,-25,-7,-2,2,4,F213 F129,F184 F158,,,LINEGAP2,,,,,
Disk5,Region,51.517,51.517,0,0,0,1.5,0,-7,10,-2,2,4,F213 F129,F184 F158,,,LINEGAP2,,,,,
Disk6,Region,56.629,56.629,0,0,0,19.5,0,10,29,-2,2,4,F213 F129,F184 F158,,,LINEGAP2,,,,,
Disk7,Region,63.707,63.707,0,0,0,39.75,0,29,50.5,-2,2,4,F213 F129,F184 F158,,,LINEGAP2,,,,,
Bulge1_epoch1,Region,11.561,11.561,0,0,0,-6.75,4,-10,-3.5,2,6,2,F213 F129,,,,LINEGAP2,,,,,
Bulge2_epoch1,Region,10.365,10.365,0,0,0,0,4,-3.5,3.5,2,6,2,F213 F129,,,,LINEGAP2,,,,,
Bulge3_epoch1,Region,11.561,11.561,0,0,0,6.75,4,3.5,10,2,6,2,F213 F129,,,,LINEGAP2,,,,,
Bulge4_epoch1,Region,11.561,11.561,0,0,0,-6.75,4,-10,-3.5,-6,-2,2,F213 F129,,,,LINEGAP2,,,,,
Bulge5_epoch1,Region,9.966,9.966,0,0,0,0,4,-3.5,3.5,-6,-2,2,F213 F129,,,,LINEGAP2,,,,,
Bulge6_epoch1,Region,11.561,11.561,0,0,0,6.75,4,3.5,10,-6,-2,2,F213 F129,,,,LINEGAP2,,,,,
Bulge7_epoch2,Region,14.419,14.419,0,0,0,0,4,-10,10,2,6,1,,F158,,,LINEGAP2,,,,,
Bulge8_epoch2,Region,14.514,14.514,0,0,0,0,4,-10,10,-6,-2,1,,F158,,,LINEGAP2,,,,,
Serpens1,Region,8.98,8.98,0,0,0,28.25,3.25,26.5,30,2,4.5,5,F213 F129,F106 F158  F184,,,LINEGAP2,,,,,
Deep_W40,Pointing,4.467,3.353,1.114,0,0,28.83,3.54,28.03,29.63,2.74,4.34,3,,,F129 F158 F213,,LINEGAP2,P127,,,,
Deep_Carina_JWST,Pointing,1.7123,1.3198,0.3925,0,0,-73.8,-0.2,-74.6,-73,-1,0.6,7,,,F062  F087   F106  F129 F158 F184 F213,,,"P127,G150",,,,
Deep_Acrux,Pointing,1.7123,1.3198,0.3925,0,0,-59.75,-0.29,-60.55,-58.95,-1.09,0.51,7,,,F062  F087   F106  F129 F158 F184 F213,,,"P127,G150",,,,
Deep_NGC_5269_5281,Pointing,1.7123,1.3198,0.3925,0,0,-50.86,-0.55,-51.66,-50.06,-1.35,0.25,7,,,F062  F087   F106  F129 F158 F184 F213,,,"P127,G150",,,,
Deep_Window_319.5-0.2,Pointing,1.7123,1.3198,0.3925,0,0,-40.5,-0.21,-41.3,-39.7,-1.01,0.59,7,,,F062  F087   F106  F129 F158 F184 F213,,,"P127,G150",,,,
Deep_G333,Pointing,1.7123,1.3198,0.3925,0,0,-27,-0.48,-27.8,-26.2,-1.28,0.32,7,,,F062  F087   F106  F129 F158 F184 F213,,,"P127,G150",,,,
Deep_ASSC_85,Pointing,1.7123,1.3198,0.3925,0,0,-20.17,-0.32,-20.97,-19.37,-1.12,0.48,7,,,F062  F087   F106  F129 F158 F184 F213,,,"P127,G150",,,,
Deep_Teutsch_84,Pointing,1.7123,1.3198,0.3925,0,0,-15.56,-0.46,-16.36,-14.76,-1.26,0.34,7,,,F062  F087   F106  F129 F158 F184 F213,,,"P127,G150",,,,
Deep_NGC_6357_Lobster,Pointing,1.7123,1.3198,0.3925,0,0,-6.86,0.85,-7.66,-6.06,0.05,1.65,7,,,F062  F087   F106  F129 F158 F184 F213,,,"P127,G150",,,,
Deep_Window_355.0-0.3,Pointing,1.7123,1.3198,0.3925,0,0,-5,-0.3,-5.8,-4.2,-1.1,0.5,7,,,F062  F087   F106  F129 F158 F184 F213,,,"P127,G150",,,,
Deep_M20_Lagoon,Pointing,1.7123,1.3198,0.3925,0,0,7,-0.27,6.2,7.8,-1.07,0.53,7,,,F062  F087   F106  F129 F158 F184 F213,,,"P127,G150",,,,
Deep_M17_Omega,Pointing,1.7123,1.3198,0.3925,0,0,15.04,-0.73,14.24,15.84,-1.53,0.07,7,,,F062  F087   F106  F129 F158 F184 F213,,,"P127,G150",,,,
Deep_Trumpler_35,Pointing,1.7123,1.3198,0.3925,0,0,28.21,-0.06,27.41,29.01,-0.86,0.74,7,,,F062  F087   F106  F129 F158 F184 F213,,,"P127,G150",,,,
Deep_W44,Pointing,1.7123,1.3198,0.3925,0,0,34.7,-0.4,33.9,35.5,-1.2,0.4,7,,,F062  F087   F106  F129 F158 F184 F213,,,"P127,G150",,,,
Deep_W51,Pointing,1.7123,1.3198,0.3925,0,0,49.4,-0.2,48.6,50.2,-1,0.6,7,,,F062  F087   F106  F129 F158 F184 F213,,,"P127,G150",,,,
Deep_VVV-CL001_UKS_1,Pointing,1.7123,1.3198,0.3925,0,0,5.2,0.77,4.4,6,-0.03,1.57,7,,,F062  F087   F106  F129 F158 F184 F213,,,"P127,G150",,,,
TDS_Baades_Windows,Region,23.199,15.148,0,8.051,,0.97,-4.12,-0.32,2.257,-4.515,-3.715,7,,,F062  F087   F106  F129,F213,,,43,676 sec,8.05 hours,
TDS_NGC6334_6357,Region,23.199,15.148,0,8.051,,-7.86,0.75,-9.15,-6.574,0.347,1.147,5,,,F062  F087  F106   F129,F213,,,43,676 sec,8.05 hours,
TDS_Carina,Region,23.199,15.148,0,8.05,,-72.48,-0.65,-73.77,-71.19,-1.045,-0.245,5,,,F062  F087  F106   F129,F213,,,43,676 sec,8.05 hours,
TDS_W43,Region,23.199,15.148,0,8.051,,30.6,-0.09,29.31,31.886,-0.488,0.312,5,,,F062  F087  F106   F129,F184,,,43,676 sec,8.05 hours,
TDS_Galactic_Center_High_Cadence,Region,55.352,35.942,0,8.1,11.31,-0.06,-0.13,-1.554,1.431,-0.525,0.275,5,,,F062  F087  F106   F129,F213,,,42,694 sec,8.1 hours,
TDS_Galactic_Center_Low_Cadence,Region,,,,,,,,,,,,,,,,,,,8+8,"0, +4, +6, +8, +10, +12, +14, +16 hours, +1 week (x 8) ",2.92 days,
TDS_Serpens_W40,Region,13.573,0,0,0,13.573,28.25,3.25,26.5,30,2,4.5,1,,,,F213,,,8,"0, +4, +6, +8, +10, +12, +14, +16 hours ",58.916 days,
,TOTAL,687.7195,,,,,,,,,,,,,,,,,,,,,